ds,ts,ts_log,first_diff,ts_log_ma,ts_ma,ts_log_diff,ts_ma_diff,ts_log_ma_diff,ts_log_ewma,ts_log_ewma_diff,seasonal_first_diff,trend,seasonal,residual,forecast
2000-01-21,29.37,3.379973745210529,3.1000000000000014,3.275469452093247,26.484285714285758,0.11154614151308051,2.8857142857142435,0.10450429311728193,3.2013901240656697,0.17858362114485926,3.25,0.2018269230769231,0.10312312287071955,2.795049954052359,0.2799918240573449
2000-01-28,28.34,3.3442742342625342,-1.0300000000000011,3.286740391485092,26.791428571428614,-0.03569951094799473,1.5485714285713854,0.057533842777442334,3.2148607144099417,0.12941351985259253,-1.25,0.17461538461538462,-0.5089019354043388,-0.6957134492110469,0.6220844804198342
2000-02-04,28.08,3.3350575791576103,-0.26000000000000156,3.2966401298266,27.06000000000004,-0.009216655104923976,1.019999999999957,0.0384174493310101,3.226192434385319,0.10886514477229126,-1.7600000000000016,0.14769230769230768,-0.19071137596378082,-0.21698093172852842,-0.18668893023778388
2000-02-11,28.83,3.3614165116503107,0.75,3.3110160274987286,27.454285714285756,0.026358932492700493,1.375714285714242,0.05040048415158216,3.238940864893157,0.12247564675715372,-1.0800000000000018,0.1601923076923077,-0.139219534471938,0.7290272267796303,-0.028819446742637478
2000-02-18,29.87,3.3968546322280186,1.0400000000000027,3.328982589771998,27.95857142857147,0.0354381205777079,1.9114285714285302,0.06787204245602085,3.2538283962397694,0.14302623598824926,-0.259999999999998,0.18173076923076925,0.2649005121481084,0.5933687186211251,0.16672059655403149
2000-02-25,30.1,3.40452517175483,0.23000000000000043,3.3557899254230414,28.69428571428576,0.007670539526811293,1.405714285714243,0.048735246331788495,3.2680355360425737,0.13648963571225625,2.120000000000001,0.20625000000000002,-0.015533637036041204,0.03928363703604161,0.2213949169182707
2000-03-03,31.07,3.436242723404956,0.9699999999999989,3.379763513952685,29.38000000000004,0.03171755165012602,1.6899999999999586,0.05647920945227103,3.2838934933115738,0.1523492300933822,0.23999999999999844,0.21586538461538463,0.49231309956069563,0.2618215158239186,0.06288369074307809
2000-03-10,32.14,3.4701013603093664,1.0700000000000003,3.3926388875382334,29.775714285714326,0.03385863690441049,2.364285714285675,0.07746247277113305,3.3014484886973596,0.16865287161200682,1.0600000000000023,0.21750000000000003,1.0812204422180396,-0.22872044221803933,0.20871262560350767
2000-03-17,31.29,3.443298557680791,-0.8500000000000014,3.406785219455127,30.197142857142897,-0.026802802628575595,1.0928571428571026,0.036513338225663716,3.3148215934250294,0.1284769642557615,-0.7200000000000024,0.21000000000000008,0.48231892706652174,-1.5423189270665232,0.22683551146405545
2000-03-24,27.99,3.331847303527362,-3.3000000000000007,3.4063266086508057,30.184285714285757,-0.11145125415342871,-2.1942857142857584,-0.07447930512344358,3.316426714986782,0.015420588540580038,-3.5700000000000003,0.2055769230769231,0.18108349583109234,-3.686660418908016,-0.1477996436981246
2000-03-31,26.92,3.2928695047765273,-1.0699999999999967,3.396534179097408,29.91142857142862,-0.03897779875083485,-2.9914285714286173,-0.10366467432088067,3.3142058275279944,-0.02133632275146713,0.32000000000000384,0.1683653846153846,-0.36938270463510775,-0.8689826799802736,-0.6220321709486469
2000-04-07,25.6,3.242592351485517,-1.3200000000000003,3.374496710419908,29.30142857142862,-0.05027715329101046,-3.701428571428618,-0.13190435893439112,3.3074543714173856,-0.0648620199318688,-2.6400000000000006,0.14519230769230768,0.46969072193831796,-1.9348830296306259,-0.182557824763121
2000-04-14,24.87,3.2136622578153133,-0.7300000000000004,3.34723057985712,28.55428571428576,-0.028930093670203494,-3.6842857142857603,-0.13356832204180646,3.298611994626039,-0.0849497368107257,-3.830000000000002,0.1914423076923077,0.3298072720548682,-1.2512495797471763,-0.23547176616105536
2000-04-21,26.66,3.2831643147505627,1.7899999999999991,3.325362235763635,27.924285714285762,0.06950205693524936,-1.2642857142857622,-0.04219792101307229,3.297155643971755,-0.013991329221192395,2.8200000000000003,0.2133653846153846,0.31780616118656885,1.2588284541980457,-0.11994069775486893
2000-04-28,25.95,3.2561716096118976,-0.7100000000000009,3.2948008428068536,27.040000000000045,-0.02699270513866514,-1.090000000000046,-0.038629233194956036,3.2932918193886254,-0.03712020977672781,-0.4499999999999993,0.21394230769230768,0.18350027176349376,-1.1074425794558023,0.3704232493597166
2000-05-05,26.75,3.2865344733420154,0.8000000000000007,3.2724059736156,26.391428571428616,0.030362863730117873,0.35857142857138413,0.014128499726415278,3.2926547615640502,-0.006120288222034809,0.05000000000000071,0.20653846153846162,0.32296541599426254,0.2704961224672766,-0.12183845504926105
2000-05-12,28.7,3.3568971227655755,1.9499999999999993,3.275984519221059,26.492857142857186,0.07036264942356008,2.207142857142813,0.08091260354451668,3.298711295977165,0.058185826788410555,0.9099999999999966,0.18557692307692314,0.20867755541733865,1.5557455215057376,0.17731084240886008
2000-05-19,29.88,3.3971893602646164,1.1799999999999997,3.290887355719357,26.91571428571433,0.04029223749904087,2.964285714285669,0.10630200454525918,3.3079954470285697,0.08919391323604664,0.9499999999999993,0.1749038461538462,0.320279117917339,0.6848170359288146,0.39877478647818265
2000-05-26,29.46,3.3830334110344844,-0.41999999999999815,3.310950364226353,27.467142857142903,-0.01415594923013197,1.9928571428570976,0.07208304680813127,3.3150697513161442,0.06796365971834017,-1.389999999999997,0.16836538461538458,-0.5980652330441992,0.009699848428816549,0.24646119653812548
2000-06-02,29.98,3.4005304926744517,0.5199999999999996,3.3376458263490867,28.1971428571429,0.017497081639967327,1.7828571428571003,0.06288466632536505,3.3231266768606953,0.07740381581375644,-0.5500000000000007,0.16538461538461535,-0.02693242054419994,0.38154780515958414,-0.06414381671212088
2000-06-09,29.79,3.394172766725191,-0.19000000000000128,3.3535041766311764,28.644285714285758,-0.006357725949260651,1.1457142857142415,0.04066859009401469,3.3298246418814976,0.06434812484369345,0.6600000000000001,0.11673076923076924,0.30508981503272387,-0.6118205842634944,0.12216306381908532
2000-06-16,32.45,3.479700443150099,2.6600000000000037,3.385436867136634,29.572857142857192,0.085527676424908,2.877142857142811,0.09426357601346513,3.3439543832406122,0.13574605990948685,5.960000000000004,0.0610576923076923,0.19505676214810916,2.403885545544202,-0.01805748105262106
2000-06-23,33.55,3.5130368634176907,1.0999999999999943,3.417794351433159,30.544285714285763,0.03333642026759165,3.005714285714234,0.09524251198453193,3.359894859908877,0.15314200350881357,2.169999999999991,0.039999999999999994,0.11160724291733884,0.9483927570826555,0.5390885510404111
2000-06-30,32.12,3.469478889078561,-1.4299999999999997,3.433877460906442,31.032857142857193,-0.04355797433912967,1.0871428571428048,0.035601428172118865,3.370226040634192,0.09925284844436888,-0.10999999999999943,0.01432692307692305,0.19392094484041608,-1.6382478679173387,0.22953544710850315
2000-07-07,30.4,3.414442608412176,-1.7199999999999989,3.4363422106418082,31.10714285714291,-0.05503628066638511,-0.7071428571429124,-0.021899602229632276,3.3743946166231265,0.0400479917890495,-0.9899999999999984,0.02913461538461539,-0.08177316573650739,-1.6673614496481068,-0.26097029173798836
2000-07-14,30.44,3.415757532993485,0.0400000000000027,3.44101708520738,31.247142857142908,0.001314924581309107,-0.8071428571429067,-0.025259552213894754,3.3782941608138826,0.037463372179602494,-1.7499999999999964,0.051826923076923055,0.3210483486865699,-0.33287527176349024,-0.31281073351036925
2000-07-21,30.65,3.4226326623822203,0.2099999999999973,3.444174538022775,31.342857142857195,0.006875129388735246,-0.6928571428571964,-0.021541875640554764,3.382474232273774,0.04015843010844611,0.9199999999999982,0.03653846153846151,0.300378276571185,-0.1269167381096492,0.030974596827364365
2000-07-28,28.02,3.332918540908861,-2.629999999999999,3.435423934334728,31.090000000000057,-0.08971412147335922,-3.070000000000057,-0.10250539342586684,3.3778023032770217,-0.04488376236816061,-3.4299999999999997,0.04105769230769231,-0.18392815918056232,-2.487129533127129,0.06084757709745636
2000-08-04,28.5,3.349904087274605,0.4800000000000004,3.416881597781086,30.525714285714344,0.016985546365743787,-2.0257142857143435,-0.06697751050648115,3.37517216169874,-0.025268074424134923,-1.4699999999999989,0.043461538461538496,0.08922743522503157,0.34731102631343036,-0.49334142860991304
2000-08-11,30.14,3.4058531931983493,1.6400000000000006,3.4015696448926085,30.038571428571483,0.05594910592374447,0.10142857142851724,0.0042835483057408474,3.3780646569251265,0.027788536273222864,0.46000000000000085,0.03461538461538467,0.22478687578447085,1.380597739600145,0.11848235922803463
2000-08-18,31.82,3.4600950229096408,1.6799999999999997,3.4002290925827627,29.99571428571434,0.054241829711291434,1.8242857142856614,0.059865930326878036,3.3857981792492375,0.07429684366040323,2.099999999999998,0.018173076923076972,-0.21704878855119233,1.878875711628115,0.33891352692869203
2000-08-25,32.46,3.480008562086445,0.6400000000000006,3.4095956573933726,30.290000000000052,0.019913539176804385,2.1699999999999484,0.0704129046930726,3.3946799889314243,0.08532857315502085,0.120000000000001,-0.015865384615384656,-0.7269817722341753,1.3828471568495604,0.34455184502069713
2000-09-01,33.08,3.4989288701554906,0.6199999999999974,3.4214772769879453,30.66714285714291,0.018920308069045433,2.4128571428570886,0.07745159316754524,3.4045081914578166,0.09442067869767401,0.8099999999999987,-0.04432692307692313,0.0640817475793439,0.6002451754975766,0.14165088155349798
2000-09-08,34.42,3.5386377907833935,1.3400000000000034,3.438049438188113,31.20571428571434,0.03970892062790288,3.214285714285662,0.10058835259528065,3.417153438595982,0.12148435218741138,-1.3200000000000003,-0.06586538461538466,0.07945470795230461,1.3264106766630834,0.13968934366029373
2000-09-15,34.7,3.5467396869528134,0.28000000000000114,3.468595316194392,32.16000000000005,0.00810189616941992,2.5399999999999494,0.07814437075842129,3.429370355252851,0.11736933169996222,-0.8199999999999932,-0.07653846153846158,0.049448880446474996,0.3070895810919877,0.28014489995442965
